"New Zealand Herald"	"United States of America"	"14352"
"New Zealand Herald"	"China"	"2706"
"New Zealand Herald"	"Ukraine"	"1765"
"New Zealand Herald"	"United Kingdom"	"1631"
"New Zealand Herald"	"Syria"	"1524"
"New Zealand Herald"	"France"	"1523"
"New Zealand Herald"	"Israel"	"1391"
"New Zealand Herald"	"Germany"	"1279"
"New Zealand Herald"	"Mexico"	"1259"
"New Zealand Herald"	"Iraq"	"1172"
"New Zealand Herald"	"India"	"1086"
"New Zealand Herald"	"Iran"	"1065"
"New Zealand Herald"	"Japan"	"989"
"New Zealand Herald"	"Egypt"	"878"
"New Zealand Herald"	"Greece"	"831"
"New Zealand Herald"	"Australia"	"777"
"New Zealand Herald"	"Afghanistan"	"748"
"New Zealand Herald"	"Brazil"	"705"
"New Zealand Herald"	"Canada"	"687"
"New Zealand Herald"	"Pakistan"	"684"
"New Zealand Herald"	"Turkey"	"644"
"New Zealand Herald"	"Philippines"	"643"
"New Zealand Herald"	"Spain"	"623"
"New Zealand Herald"	"Vatican"	"593"
"New Zealand Herald"	"Nigeria"	"592"
"New Zealand Herald"	"Yemen"	"569"
"New Zealand Herald"	"Thailand"	"564"
"New Zealand Herald"	"Cuba"	"524"
"New Zealand Herald"	"Italy"	"512"
"New Zealand Herald"	"Libya"	"484"
"New Zealand Herald"	"South Africa"	"464"
"New Zealand Herald"	"Malaysia"	"434"
"New Zealand Herald"	"Venezuela"	"407"
"New Zealand Herald"	"Nepal"	"402"
"New Zealand Herald"	"Indonesia"	"395"
"New Zealand Herald"	"Saudi Arabia"	"395"
"New Zealand Herald"	"Myanmar"	"356"
"New Zealand Herald"	"North Korea"	"333"
"New Zealand Herald"	"Sudan"	"331"
"New Zealand Herald"	"Poland"	"325"
"New Zealand Herald"	"South Korea"	"316"
"New Zealand Herald"	"Argentina"	"311"
"New Zealand Herald"	"Kenya"	"260"
"New Zealand Herald"	"Switzerland"	"258"
"New Zealand Herald"	"Haiti"	"258"
"New Zealand Herald"	"Tunisia"	"254"
"New Zealand Herald"	"Hong Kong"	"253"
"New Zealand Herald"	"Lebanon"	"253"
"New Zealand Herald"	"Colombia"	"238"
"New Zealand Herald"	"Jamaica"	"213"
"New Zealand Herald"	"Sri Lanka"	"210"
"New Zealand Herald"	"Chile"	"208"
"New Zealand Herald"	"Romania"	"198"
"New Zealand Herald"	"Mali"	"192"
"New Zealand Herald"	"New Zealand"	"184"
"New Zealand Herald"	"Somalia"	"181"
"New Zealand Herald"	"South Sudan"	"180"
"New Zealand Herald"	"Liberia"	"177"
"New Zealand Herald"	"Ireland"	"168"
"New Zealand Herald"	"Sweden"	"164"
"New Zealand Herald"	"Cambodia"	"160"
"New Zealand Herald"	"Czech Republic"	"159"
"New Zealand Herald"	"Bangladesh"	"152"
"New Zealand Herald"	"Congo"	"145"
"New Zealand Herald"	"Cyprus"	"143"
"New Zealand Herald"	"Dominican Republic"	"139"
"New Zealand Herald"	"Jordan"	"139"
"New Zealand Herald"	"Denmark"	"139"
"New Zealand Herald"	"Peru"	"132"
"New Zealand Herald"	"Hungary"	"127"
"New Zealand Herald"	"Algeria"	"124"
"New Zealand Herald"	"Taiwan"	"123"
"New Zealand Herald"	"Uganda"	"122"
"New Zealand Herald"	"Serbia"	"119"
"New Zealand Herald"	"Sierra Leone"	"117"
"New Zealand Herald"	"Austria"	"114"
"New Zealand Herald"	"Belgium"	"112"
"New Zealand Herald"	"Portugal"	"111"
"New Zealand Herald"	"Morocco"	"111"
"New Zealand Herald"	"United Arab Emirates"	"111"
"New Zealand Herald"	"Qatar"	"110"
"New Zealand Herald"	"Macedonia"	"109"
"New Zealand Herald"	"Guyana"	"109"
"New Zealand Herald"	"Bahrain"	"106"
"New Zealand Herald"	"Guatemala"	"105"
"New Zealand Herald"	"Guinea"	"98"
"New Zealand Herald"	"Burundi"	"98"
"New Zealand Herald"	"Norway"	"97"
"New Zealand Herald"	"Uruguay"	"90"
"New Zealand Herald"	"Bulgaria"	"82"
"New Zealand Herald"	"Albania"	"80"
"New Zealand Herald"	"Honduras"	"80"
"New Zealand Herald"	"Bahamas"	"80"
"New Zealand Herald"	"Georgia"	"73"
"New Zealand Herald"	"El Salvador"	"73"
"New Zealand Herald"	"Zimbabwe"	"69"
"New Zealand Herald"	"Ethiopia"	"68"
"New Zealand Herald"	"Central African Republic"	"67"
"New Zealand Herald"	"Rwanda"	"65"
"New Zealand Herald"	"Panama"	"63"
"New Zealand Herald"	"Moldova"	"62"
"New Zealand Herald"	"Kuwait"	"60"
"New Zealand Herald"	"Singapore"	"60"
"New Zealand Herald"	"Bolivia"	"57"
"New Zealand Herald"	"Niger"	"54"
"New Zealand Herald"	"Nicaragua"	"54"
"New Zealand Herald"	"Armenia"	"50"
"New Zealand Herald"	"Croatia"	"49"
"New Zealand Herald"	"Vietnam"	"49"
"New Zealand Herald"	"Cameroon"	"49"
"New Zealand Herald"	"Maldives"	"48"
"New Zealand Herald"	"Mozambique"	"48"
"New Zealand Herald"	"Finland"	"47"
"New Zealand Herald"	"Paraguay"	"46"
